token_address,symbol,first_seen_at,txns_m5,volume_m5_usd,avg_trade_usd_m5,trade_count_total,total_amount_usd,sample_project
CkAU47rV7AkQLHMDTjZuXDXLu4inJV71wrfoL9GvEox5,Oracle,2026-03-22 5:46,256,1166.55969820857,4.556873821127226,399,1289.4950090885695,meteora
CZNm6GXPAKhaaXuUWJaDGVVif8fE8SY5HwPewrxefqw1,PAWTOCOL,2026-03-22 5:48,46,1348.4644315770001,29.314444164717393,46,1348.464431577,meteora
CUUjNtR28TtiKfhcg7d4a1SFoyczsUNCxR1h3v7jPAxj,1hour,2026-03-22 5:49,72,7215.09643964584,100.2096727728589,73,7277.9598396458405,pumpswap
CCPBcadyJ321dFvn1t6dRkHPktKvzPWP9Bj5mFP9SMMJ,EMY,2026-03-22 5:56,272,12129.479739328499,44.59367551223713,272,12129.4797393285,meteora
C8K4tQ1VN4GmGkQiS2deo6w4Hcnok73wpv9UAeZoz1a5,Tuzi,2026-03-22 5:50,1472,44857.80361976223,30.474051372121078,3072,83451.18463445823,meteora
C7hSiXWReULwy5bHgNGPNPyMfdEbxc3DDUFof4XshC5w,HIVE,2026-03-22 5:46,356,11800.801713796882,33.14831942077776,437,14696.46756578098,meteora
C7UeN6APXvMESp86S24tvvjKpcmBAqfBQDtDSjt9pump,Flom,2026-03-22 5:58,76,3162.6915123330004,41.61436200438158,76,3162.6915123329995,pumpdotfun
C6zYBo4z1BAXXTWU8yyCAaZnFwq5hVWTPwQnHh3Dpump,yahu,2026-03-22 5:54,24,779.7047670586799,32.48769862744499,24,779.70476705868,pumpdotfun
BjNdapHWa96UaGvZQEWaiHZmgcabqHaqu49TTYbC9TtK,Elon Musk,2026-03-22 5:52,257,1173.9983732885403,4.568087055597433,257,1173.99837328854,meteora
BaQpRKauSNnxmxe2BD4uh3z7oPWH1tKXzCscua4jc7Vo,SOMETHING,2026-03-22 5:45,1884,26350.892120213826,13.986673099901182,3673,52772.21055017602,meteora
BWVjZn56fRwSMnLCfufpHCpDBudeurMLXKWLwoCS4w82,JSUPMT,2026-03-22 5:55,62,1075.5946620885002,17.348301001427423,62,1075.5946620885002,meteora
BWPeT2DqrwXWY6SXmJfwkP3QUNGawpJnkde1igr3kygh,Amazon✅,2026-03-22 5:51,461,11135.064552676235,24.154153042681635,696,13017.811160255738,meteora
BQhSfYr88eTD5EgTLiPcKYwegKwzX6YBoV9WmGWCpaDx,DYOR,2026-03-22 5:52,83,3015.5713604993007,36.332185066256635,134,4899.9123697418,pumpswap
BC1sNziSiaxrCT7rTQamGokXVhQvHBwUd8QXFkoDpump,SHREMP,2026-03-22 5:53,132,5976.86024307784,45.27924426574121,163,6746.448378436839,pumpdotfun
B4h4y1UtBcMLDwicSvmun9JjcoqMfV4wEzy7NQhGpump,立立牛,2026-03-22 5:58,27,935.294112456,34.64052268355555,27,935.294112456,pumpdotfun
As8LSoKtFYYb9KeA3zsycyLrvi8uNq7XS5xUTJEZpump,kukki,2026-03-22 5:57,34,1290.6323088315,37.959773789161765,34,1290.6323088315,pumpdotfun
AhaTtA4M2GkYtUcVoACNKehCrDW8X8FyRzs4Nn98ySJM,believe,2026-03-22 5:45,76,2694.7054467980597,35.45665061576394,181,6383.227481692019,pumpswap
AX3xXQDjSTKDvzc9G9SmAKiBu7aqL9fqQNfvN7Y247qc,MICHIKO,2026-03-22 5:50,1704,51465.99527222567,30.203048868677037,2071,64841.956775977684,meteora
AVxT7Q1bbP24jCCp3tpJgKX3jNnoJszdtJnRoyc4pump,Skin,2026-03-22 5:47,332,8969.980671076279,27.018014069506865,367,9543.26271200574,meteora
ATgc9kBP4NEffnvZkzpgt1Zp2vyQXgG17gvR8biN2Y4W,TERAFAB,2026-03-22 5:57,662,4750.314519780001,7.175701691510576,662,4750.314519779999,meteora
APJoFuunPzeuuBGNPdetc15oNMEN1XaSHMTL3o1dpump,BANANUS,2026-03-22 5:52,8,650.9310145648399,81.36637682060498,8,650.9310145648401,pumpdotfun
AMvUfxx5m4p9oKc1farPu9DBRZZNuaEBWfC9H58rQdEG,TERAFAB,2026-03-22 5:57,1197,30514.875226947006,25.492794675812036,1197,30514.87522694701,meteora
A3wxy3nyQWYvtbKV3cqUCDXmZSjNRyEdvPxWiSGrpump,TRUMP,2026-03-22 5:47,24,1051.4046273930398,43.80852614137666,24,1051.4046273930398,pumpdotfun
9tC7tnGjkevzYoHtAxBscEoTczC7XUTfN6pnxvvWpump,Dungcoin,2026-03-22 5:55,29,1659.8115021780004,57.23487938544829,29,1659.8115021780002,meteora
9iMw5Z5axeqnbfRhLYCjDHxmtCaGJwBDUy9Wf1Ac3HcF,NPC,2026-03-22 5:52,336,12506.81692297078,37.22266941360351,336,12506.81692297078,pumpswap
9h5cUTxcT6Vx3BnVdFKR3Rzh48SuCtzWA8GS8NRQpump,立立牛,2026-03-22 5:57,41,1199.9636683694998,29.267406545597556,41,1199.9636683695,pumpdotfun
9dMmg9MB66f2kphduhy8NWGZGxHsw5JeqeEtfWGrEh1M,JSUPMT,2026-03-22 5:58,59,993.7753500885,16.8436500015,59,993.7753500885001,meteora
9bkdvgvaZmoUsk9FRT6BMBeUByxia4xhbF827ZNtpump,Chibinu,2026-03-22 5:58,62,1912.2786186195,30.84320352612097,62,1912.2786186194999,pumpdotfun
9ZvXDRKniKowfNbG2F3ucZvet3WUVMWJxQjXjpmDvSj3,RUNNER,2026-03-22 5:48,478,11448.885114212871,23.951642498353287,478,11448.885114212871,meteora
9T3zLWSrcnf8GqDRnUHP4nKX4bX7aiNzuRAvmcpkgasr,RUNNER,2026-03-22 5:45,100,9294.020729933429,92.94020729933429,100,9294.020729933429,meteora
9QfCCFdiCa55188AgsJvUS1LVxsEPTAneByTyDyVGeJi,Skin,2026-03-22 5:49,897,30796.92545120325,34.33325022430686,1700,79742.47674489395,meteora
92A7b7YVYXtQFkawMsQCEBxAphfGEE2zjXJwLnQVqooB,Meili,2026-03-22 5:48,1780,41986.67966421047,23.58802228326431,4531,153610.75814997684,meteora
